id,remark,sex,age_range,dept,account_type,company_code,ria_nickname,district,zichao,yewu,chongzhi,jiaofei,baoxiu,yehuaqi,fankui
1,1,0,4,0,0,4,5,12,7,0,0,0,0,0,0
2,1,0,4,0,0,4,1,5,7,0,0,0,0,0,0
3,1,0,4,0,0,4,0,2,14,0,0,0,0,0,0
4,1,1,5,0,0,4,0,1,32,0,3,0,0,0,0
5,1,1,2,0,0,4,7,14,8,0,0,0,0,0,0
6,1,0,5,0,0,4,1,4,27,1,0,2,0,0,0
7,1,0,4,0,0,4,1,6,13,0,0,3,0,0,0
8,1,0,2,0,0,4,0,2,6,1,0,0,0,0,0
9,1,0,2,0,0,4,1,1,17,0,0,5,0,0,0
10,1,0,2,0,0,4,0,12,14,0,0,0,0,0,0
11,1,0,2,0,0,4,2,6,5,2,0,0,0,0,0
12,1,0,2,0,0,4,1,2,7,0,0,2,0,0,0
13,1,0,5,0,0,4,3,6,28,0,0,7,0,0,0
14,2,1,3,0,0,4,1,5,36,3,0,6,0,0,1
15,1,0,3,0,0,4,1,14,14,0,0,1,0,0,0
16,1,0,3,0,0,4,1,1,6,0,0,3,0,0,0
17,1,0,2,0,0,4,1,14,10,0,0,1,0,0,0
18,1,1,2,0,0,4,1,6,13,0,0,0,0,0,0
19,1,0,4,0,0,4,0,6,16,0,0,27,0,0,0
20,1,0,3,0,0,4,1,6,12,0,0,3,0,0,0
21,1,0,2,0,0,4,1,6,14,0,0,0,0,0,0
22,1,0,2,0,0,4,1,2,9,0,0,6,0,0,0
23,1,0,3,0,0,4,1,1,13,1,0,1,0,0,0
24,1,0,3,0,0,4,1,14,15,0,0,4,0,0,0
25,1,0,3,0,0,4,1,2,6,0,0,1,0,0,0
26,1,0,3,0,0,4,0,7,8,1,0,1,0,0,0
27,1,0,2,0,0,4,1,14,13,0,1,1,0,0,1
28,1,0,4,0,0,4,1,1,8,0,0,1,0,0,0
29,1,0,5,0,0,4,1,6,14,1,0,23,0,0,0
30,1,0,5,0,0,4,0,6,14,0,0,1,0,0,0
31,1,0,2,0,0,4,0,2,11,1,0,2,0,0,0
32,1,1,2,0,0,4,1,14,24,0,0,2,0,0,0
33,1,1,2,0,0,4,1,13,7,0,0,9,0,0,0
34,1,1,3,0,0,4,1,1,13,0,0,7,0,0,0
35,1,0,2,0,0,4,1,1,19,0,0,2,0,0,0
36,1,0,3,0,0,4,1,6,16,0,0,2,0,0,0
37,1,1,2,0,0,4,2,1,17,0,0,0,0,0,0
38,1,0,5,0,0,4,1,6,11,0,0,8,0,0,0
39,1,0,5,0,0,4,1,7,20,2,0,0,0,0,0
40,1,1,5,0,0,4,1,7,12,0,0,1,0,0,0
41,1,1,2,0,0,4,0,6,14,0,0,0,0,0,0
42,1,0,2,0,0,4,1,1,19,0,0,1,0,0,0
43,1,0,3,0,0,4,1,2,12,0,0,0,0,0,0
44,1,1,2,0,0,4,0,14,18,0,0,4,0,0,0
45,1,0,0,0,0,4,1,1,19,0,0,0,0,0,0
46,1,0,1,0,0,4,0,7,6,0,0,2,0,0,0
47,1,0,4,0,0,4,1,14,11,0,0,10,0,0,0
48,1,1,3,0,0,4,1,7,8,0,0,9,0,0,0
49,1,0,3,0,0,4,0,7,19,0,0,0,0,0,0
50,1,0,1,0,0,4,0,14,28,0,0,3,0,0,0
51,1,0,3,0,0,4,1,7,15,1,0,1,0,0,0
52,1,0,2,0,0,4,1,6,11,1,0,2,0,0,0
53,1,1,1,0,0,4,2,6,18,0,0,0,0,0,0
54,1,0,2,0,0,4,0,14,19,0,0,6,0,0,0
55,1,0,5,0,0,4,1,2,19,0,0,14,0,0,0
56,1,0,3,0,0,4,0,15,6,0,0,0,0,0,0
57,1,0,2,0,0,4,1,6,6,0,0,0,0,0,0
58,1,0,2,0,0,4,0,2,15,1,1,0,0,0,0
59,1,0,3,0,0,4,1,2,10,0,0,1,0,0,0
60,1,0,4,0,0,4,1,2,13,0,0,0,0,0,0
61,1,0,3,0,0,4,1,14,19,0,0,7,0,0,0
62,1,0,3,0,0,4,1,1,14,0,0,2,0,0,1
63,1,1,3,0,0,4,1,14,14,0,0,0,0,0,0
64,1,1,5,0,0,4,0,7,30,0,0,0,0,0,0
65,1,0,4,0,0,4,1,1,12,0,0,0,0,0,0
66,1,0,2,0,0,4,1,7,13,0,0,1,0,0,0
67,1,1,5,0,0,4,4,2,21,0,0,2,0,0,2
68,1,0,3,0,0,4,1,6,19,1,0,1,0,0,0
69,1,0,2,0,0,4,0,4,12,0,0,5,0,0,0
70,1,0,5,0,0,4,1,2,7,0,0,2,0,0,0
71,1,0,3,0,0,4,0,7,7,0,0,1,0,0,0
72,1,0,3,0,0,4,1,2,15,0,0,0,0,0,0
73,1,1,4,0,0,4,0,14,9,0,0,0,0,0,0
74,1,0,2,0,0,4,1,1,15,0,0,5,0,0,0
75,1,0,5,0,0,4,1,1,18,0,0,0,0,0,0
76,1,0,5,0,0,4,1,1,10,0,0,0,0,0,0
77,1,1,5,0,0,4,1,1,18,0,0,6,0,0,2
78,1,0,3,0,0,4,1,2,18,0,0,25,0,0,0
